pod,CPU(m),MEMORY(Mi)
prometheus-prometheus-kube-prometheus-prometheus-0,0.015099603302087452,249.9140625
prometheus-kube-prometheus-operator-66b74b8df7-zp8l5,0.0016139077496160309,44.171875
prometheus-grafana-68589f687c-xbp7f,0.016977779023143322,310.359375
prometheus-prometheus-node-exporter-9r6zb,0.0012922499220613614,17.78515625
prometheus-kube-state-metrics-5bc7f89f46-vr78c,0.0013267754674346152,33.8359375
alertmanager-prometheus-kube-prometheus-alertmanager-0,0.0008945988877266008,51.03125
ai-failure-predictor-6fdf7887f9-dnttx,0.0,0.5078125
ai-failure-predictor-fd6ddcf5c-rv5g8,0.00940092336322042,138.1640625
ai-prediction-7b6c54f4c9-hwsvl,0.001624153010783342,120.2265625
storage-provisioner,0.0016975316182008826,25.1015625
ai-prediction-7b6c54f4c9-7zkmv,0.0016267061720209536,119.2578125
ai-prediction-7b6c54f4c9-6zfvf,0.0015901885697500238,143.68359375
ai-prediction-7b6c54f4c9-fgc5k,0.001612195156822445,118.2421875
my-nginx-5b584c864b-vrlxm,0.0,25.484375
kube-proxy-8qcpv,0.0008000781179489665,44.4296875
ai-prediction-7b6c54f4c9-ww4s4,0.001613738789316344,124.5546875
coredns-668d6bf9bc-hmppb,0.0023580104525850777,44.92578125
etcd-minikube,0.025998615539229282,141.5859375
kube-controller-manager-minikube,0.018019469679140317,99.5078125
metrics-server-8467fcc7b7-ljv6z,0.0036000894532215357,45.01953125
kube-scheduler-minikube,0.007951399382241616,47.828125
kube-apiserver-minikube,0.05673770634018815,593.9453125
prometheus-prometheus-kube-prometheus-prometheus-0,0.014782266978327279,250.14453125
prometheus-kube-prometheus-operator-66b74b8df7-zp8l5,0.0015440313870274996,44.4609375
prometheus-grafana-68589f687c-xbp7f,0.017643471153362508,310.30859375
prometheus-prometheus-node-exporter-9r6zb,0.0014427419501761712,17.015625
prometheus-kube-state-metrics-5bc7f89f46-vr78c,0.0012841317722745848,33.77734375
alertmanager-prometheus-kube-prometheus-alertmanager-0,0.001011139047646298,53.171875
ai-failure-predictor-6fdf7887f9-dnttx,0.0,0.5078125
ai-failure-predictor-fd6ddcf5c-rv5g8,0.009591859618062332,138.10546875
ai-prediction-7b6c54f4c9-hwsvl,0.0016773754966979081,120.2265625
storage-provisioner,0.0018473554614399713,25.19140625
ai-prediction-7b6c54f4c9-7zkmv,0.0016674594087887399,119.2578125
ai-prediction-7b6c54f4c9-6zfvf,0.001661410162118449,143.7109375
ai-prediction-7b6c54f4c9-fgc5k,0.0016431784981904818,118.2421875
my-nginx-5b584c864b-vrlxm,0.0,25.484375
kube-proxy-8qcpv,0.0008107870460014931,44.515625
ai-prediction-7b6c54f4c9-ww4s4,0.0016631629742577818,124.5546875
coredns-668d6bf9bc-hmppb,0.0024090640664943368,45.12890625
etcd-minikube,0.026683227776360917,141.88671875
kube-controller-manager-minikube,0.018100679999999928,99.68359375
metrics-server-8467fcc7b7-ljv6z,0.0036655661689121667,44.8515625
kube-scheduler-minikube,0.008268577949682915,47.87890625
kube-apiserver-minikube,0.06087732830162294,544.53515625
prometheus-prometheus-kube-prometheus-prometheus-0,0.014919477315215911,252.30078125
prometheus-kube-prometheus-operator-66b74b8df7-zp8l5,0.0016375304407971495,44.54296875
prometheus-grafana-68589f687c-xbp7f,0.017919144736842106,310.5859375
prometheus-prometheus-node-exporter-9r6zb,0.0013865172182862791,18.2578125
prometheus-kube-state-metrics-5bc7f89f46-vr78c,0.0012670090954784226,33.79296875
alertmanager-prometheus-kube-prometheus-alertmanager-0,0.0009630778761268868,53.48046875
ai-failure-predictor-6fdf7887f9-dnttx,0.0,0.5078125
ai-failure-predictor-fd6ddcf5c-rv5g8,0.009970963761643662,138.10546875
ai-prediction-7b6c54f4c9-hwsvl,0.0016604951570559142,120.2265625
storage-provisioner,0.0018170139818931795,25.2890625
ai-prediction-7b6c54f4c9-7zkmv,0.0017310390343080316,119.2578125
ai-prediction-7b6c54f4c9-6zfvf,0.0017006726337704915,143.7109375
ai-prediction-7b6c54f4c9-fgc5k,0.0016699792811975976,118.2421875
my-nginx-5b584c864b-vrlxm,0.0,25.484375
kube-proxy-8qcpv,0.0008912700895827244,44.53515625
ai-prediction-7b6c54f4c9-ww4s4,0.0017184890851116089,124.5546875
coredns-668d6bf9bc-hmppb,0.002503944596335968,44.61328125
etcd-minikube,0.025167028796296224,142.2421875
kube-controller-manager-minikube,0.01909683169628693,99.69140625
metrics-server-8467fcc7b7-ljv6z,0.003729109837315106,44.859375
kube-scheduler-minikube,0.00842941867416918,48.03125
kube-apiserver-minikube,0.053569139515178506,544.6875
prometheus-prometheus-kube-prometheus-prometheus-0,0.015968503682065274,252.55859375
prometheus-kube-prometheus-operator-66b74b8df7-zp8l5,0.0016164688067624824,45.26171875
prometheus-grafana-68589f687c-xbp7f,0.018374798012941302,310.79296875
prometheus-prometheus-node-exporter-9r6zb,0.0013425468751646838,18.515625
prometheus-kube-state-metrics-5bc7f89f46-vr78c,0.001243928641818096,33.80078125
alertmanager-prometheus-kube-prometheus-alertmanager-0,0.001080598954644608,53.32421875
ai-failure-predictor-6fdf7887f9-dnttx,0.0,0.5078125
ai-failure-predictor-fd6ddcf5c-rv5g8,0.0018278249811813773,138.10546875
ai-prediction-7b6c54f4c9-hwsvl,0.0016831856838466835,120.2265625
storage-provisioner,0.0017560789411764685,25.30078125
ai-prediction-7b6c54f4c9-7zkmv,0.0016966910351467164,119.2578125
ai-prediction-7b6c54f4c9-6zfvf,0.0016731342858363814,143.72265625
ai-prediction-7b6c54f4c9-fgc5k,0.0016422694766590293,118.2421875
my-nginx-5b584c864b-vrlxm,0.0,25.484375
kube-proxy-8qcpv,0.0007098972210310247,45.23046875
ai-prediction-7b6c54f4c9-ww4s4,0.0016957743215251263,124.5546875
coredns-668d6bf9bc-hmppb,0.002319706376177695,44.61328125
etcd-minikube,0.025269848496422276,142.21875
kube-controller-manager-minikube,0.018491403934270758,99.875
metrics-server-8467fcc7b7-ljv6z,0.003674054332199918,44.859375
